ID,STATE_NAME,COUNTY,City,Latitude,Longitude
2110,California,Los Angeles,Granada Hills,34.277068,-118.4992
2126,California,San Luis Obispo,Grover Beach,35.120969,-120.617348
2130,California,San Diego,Guatay,32.848889,-116.556389
2134,California,Los Angeles,Hacienda Heights,33.997741,-117.965205
2139,California,Los Angeles,Harbor City,33.797006,-118.299114
2140,California,San Luis Obispo,Harmony,35.508611,-121.021667
2143,California,Los Angeles,Hawaiian Gardens,33.82958,-118.072964
2144,California,Los Angeles,Hawthorne,33.913214,-118.346978
2148,California,Imperial,Heber,32.698918,-115.428281
2151,California,Riverside,Hemet,33.741613,-116.972974
2155,California,Los Angeles,Hermosa Beach,33.864309,-118.395511
2162,California,San Benito,Hollister,36.848404,-121.387101
2164,California,Imperial,Holtville,32.810387,-115.377456
2166,California,Riverside,Homeland,33.74528,-117.111845
2176,California,Orange,Huntington Beach,33.7152,-118.0088
2177,California,Los Angeles,Huntington Park,33.976879,-118.216053
2181,California,Riverside,Idyllwild,33.730433,-116.710665
2183,California,Imperial,Imperial,32.846954,-115.572984
2184,California,San Diego,Imperial Beach,32.578289,-117.11478
2186,California,Riverside,Indian Wells,33.716334,-116.338129
2187,California,Riverside,Indio,33.721899,-116.235729
2188,California,Los Angeles,Inglewood,33.955048,-118.355575
2190,California,Kern,Inyokern,35.674498,-117.834844
2192,California,Orange,Irvine,33.7357,-117.7672
2194,California,Tulare,Ivanhoe,36.385622,-119.218884
2196,California,San Diego,Jacumba,32.624934,-116.195184
2198,California,San Diego,Jamul,32.716289,-116.832332
2201,California,Kern,Johannesburg,35.370655,-117.637325
2204,California,San Diego,Julian,33.053355,-116.565812
2207,California,Tulare,Kaweah,36.469722,-118.9175
2209,California,Kern,Keene,35.237502,-118.607563
2214,California,Kern,Kernville,35.755005,-118.404723
2219,California,Tulare,Kings Canyon National Pk,36.780601,-119.068201
2230,California,Los Angeles,La Canada Flintridge,34.209282,-118.199008
2231,California,Los Angeles,La Crescenta,34.231619,-118.245687
2233,California,Orange,La Habra,33.932173,-117.949703
2235,California,San Diego,La Jolla,32.845488,-117.25208
2236,California,San Diego,La Mesa,32.760431,-117.011541
2237,California,Los Angeles,La Mirada,33.8953,-118.0024
2238,California,Orange,La Palma,33.849017,-118.040618
2239,California,Los Angeles,La Puente,34.029428,-117.934098
2240,California,Riverside,La Quinta,34.3278,-118.6406
2241,California,Los Angeles,La Verne,34.115905,-117.77077
2242,California,Orange,Ladera Ranch,33.5554,-117.6384
2244,California,Orange,Laguna Beach,33.542927,-117.772351
2245,California,Orange,Laguna Hills,33.60028,-117.70854
2246,California,Orange,Laguna Niguel,33.5225,-117.706667
2247,California,Orange,Laguna Woods,33.6087,-117.7311
2251,California,Riverside,Lake Elsinore,33.659816,-117.348535
2252,California,Orange,Lake Forest,33.640015,-117.68819
2253,California,Los Angeles,Lake Hughes,34.668297,-118.444719
2254,California,Kern,Lake Isabella,35.617889,-118.441256
2258,California,San Diego,Lakeside,32.856181,-116.920089
2259,California,Los Angeles,Lakewood,33.8517,-118.1328
2260,California,Kern,Lamont,35.257059,-118.912419
2261,California,Los Angeles,Lancaster,34.690888,-118.149129
2266,California,Los Angeles,Lawndale,33.887908,-118.351014
2269,California,Kern,Lebec,34.828862,-118.879126
2272,California,Tulare,Lemon Cove,36.396084,-119.004986
2273,California,San Diego,Lemon Grove,32.73323,-117.032646
2278,California,San Diego,Lincoln Acres,32.667778,-117.071944
2280,California,Tulare,Lindsay,36.209551,-119.088427
2284,California,Los Angeles,Littlerock,34.547372,-117.957405
2288,California,Los Angeles,Llano,34.495914,-117.798841
2295,California,Los Angeles,Lomita,33.793339,-118.31693
2299,California,Los Angeles,Long Beach,33.7705,-118.1885
2302,California,Orange,Los Alamitos,33.795291,-118.069891
2305,California,Los Angeles,Los Angeles,33.973093,-118.247896
2311,California,San Luis Obispo,Los Osos,35.317203,-120.833261
2312,California,Kern,Lost Hills,35.613111,-119.721573
2319,California,Los Angeles,Lynwood,33.924076,-118.201289
2327,California,Los Angeles,Malibu,34.0382,-118.7082
2330,California,Los Angeles,Manhattan Beach,33.889594,-118.399562
2333,California,Riverside,March Air Reserve Base,33.895556,-117.276111
2334,California,Kern,Maricopa,35.038353,-119.407661
2336,California,Los Angeles,Marina Del Rey,33.977876,-118.452475
2345,California,Los Angeles,Maywood,33.988992,-118.187685
2346,California,Kern,Mc Farland,35.675779,-119.227156
2347,California,Kern,Mc Kittrick,35.303097,-119.636627
2354,California,Riverside,Mecca,33.571667,-116.076389
2357,California,Riverside,Menifee,33.664744,-117.1743
2365,California,Orange,Midway City,33.744794,-117.983539
2373,California,Riverside,Mira Loma,33.993845,-117.523574
2376,California,Los Angeles,Mission Hills,34.261873,-118.458659
2377,California,Orange,Mission Viejo,33.6,-117.6711
2380,California,Kern,Mojave,35.047767,-118.173475
2383,California,Los Angeles,Monrovia,34.143959,-118.001376
2388,California,Los Angeles,Montebello,34.013342,-118.112986
2390,California,Los Angeles,Monterey Park,34.053409,-118.127144
2392,California,Los Angeles,Montrose,34.211425,-118.230529
2393,California,Ventura,Moorpark,34.285556,-118.881111
2395,California,Riverside,Moreno Valley,33.8858,-117.2211
2398,California,San Luis Obispo,Morro Bay,35.37953,-120.844745
2404,California,San Diego,Mount Laguna,32.872222,-116.4175
2406,California,Los Angeles,Mount Wilson,34.226389,-118.065278
2407,California,Riverside,Mountain Center,33.531667,-116.581954
2411,California,Los Angeles,Mt Baldy,34.218082,-117.580219
2413,California,Riverside,Murrieta,33.563071,-117.273838
2416,California,San Diego,National City,32.674916,-117.089747
2425,California,Ventura,Newbury Park,34.184167,-118.909722
2427,California,Los Angeles,Newhall,34.379519,-118.523005
2429,California,Orange,Newport Beach,33.6398,-117.8643
2430,California,Orange,Newport Coast,33.596382,-117.855317
2434,California,Imperial,Niland,33.378373,-115.696455
2435,California,San Luis Obispo,Nipomo,35.029806,-120.489413
2437,California,Riverside,Norco,33.94,-117.553333
2441,California,Los Angeles,North Hills,34.236636,-118.47582
2442,California,Los Angeles,North Hollywood,34.16867,-118.371274
2443,California,Riverside,North Palm Springs,33.900278,-116.527222
2445,California,Los Angeles,Northridge,34.236743,-118.546595
2446,California,Los Angeles,Norwalk,33.90564,-118.081767
2449,California,Riverside,Nuevo,33.807712,-117.118704
2451,California,Ventura,Oak Park,34.136389,-118.773611
2453,California,Ventura,Oak View,34.402021,-119.298168
2461,California,San Luis Obispo,Oceano,35.10187,-120.608044
2462,California,San Diego,Oceanside,33.1951,-117.3776
2463,California,Imperial,Ocotillo,32.738611,-115.993333
2464,California,Ventura,Ojai,34.44512,-119.256477
2471,California,Kern,Onyx,35.713584,-118.190227
2472,California,Orange,Orange,33.7877,-117.8755
2481,California,Tulare,Orosi,36.546368,-119.281522
2483,California,Ventura,Oxnard,34.214142,-119.174952
2485,California,Los Angeles,Pacific Palisades,34.054097,-118.536874
2487,California,Los Angeles,Pacoima,34.258081,-118.420692
2488,California,San Benito,Paicines,36.49478,-121.032853
2489,California,San Diego,Pala,33.377662,-117.071725
2491,California,Riverside,Palm Desert,33.7611,-116.3249
2492,California,Riverside,Palm Springs,33.841406,-116.53466
2493,California,Los Angeles,Palmdale,34.571483,-118.061306
2496,California,Imperial,Palo Verde,33.432778,-114.731389
2497,California,San Diego,Palomar Mountain,33.322778,-116.877778
2498,California,Los Angeles,Palos Verdes Peninsula,33.770094,-118.374763
2499,California,Los Angeles,Panorama City,34.226158,-118.447009
2501,California,Los Angeles,Paramount,33.896867,-118.163152
2504,California,Los Angeles,Pasadena,34.146762,-118.139119
2506,California,San Luis Obispo,Paso Robles,35.635248,-120.670676
2509,California,San Diego,Pauma Valley,33.306285,-116.959552
2511,California,Los Angeles,Pearblossom,34.491124,-117.902893
2516,California,Riverside,Perris,33.797535,-117.280005
2523,California,Los Angeles,Pico Rivera,33.98857,-118.088269
2529,California,San Diego,Pine Valley,32.835047,-116.512733
2535,California,Ventura,Piru,34.415278,-118.793056
2536,California,San Luis Obispo,Pismo Beach,35.142778,-120.640278
2538,California,Tulare,Pixley,35.955286,-119.256427
2539,California,Orange,Placentia,33.881,-117.8553
2543,California,Los Angeles,Playa Del Rey,33.957745,-118.437314
2549,California,Ventura,Point Mugu Nawc,34.123432,-119.09931
2552,California,Los Angeles,Pomona,34.043268,-117.752086
2555,California,Ventura,Port Hueneme,34.162572,-119.197317
2556,California,Ventura,Port Hueneme Cbc Base,34.16212,-119.206008
2557,California,Los Angeles,Porter Ranch,34.274191,-118.541235
2558,California,Tulare,Porterville,36.068636,-119.031549
2561,California,Tulare,Posey,35.813496,-118.664286
2562,California,San Diego,Potrero,32.620477,-116.603748
2564,California,San Diego,Poway,32.975619,-117.040223
2572,California,San Diego,Ramona,33.029349,-116.853548
2573,California,San Diego,Ranchita,33.24055,-116.539121
2576,California,Riverside,Rancho Mirage,33.764284,-116.422451
2577,California,Los Angeles,Rancho Palos Verdes,33.787778,-118.357222
2578,California,San Diego,Rancho Santa Fe,33.0231,-117.1996
2579,California,Orange,Rancho Santa Margarita,33.651822,-117.588388
2580,California,Kern,Randsburg,35.352176,-117.726396
2588,California,Los Angeles,Redondo Beach,33.830656,-118.383221
2596,California,Los Angeles,Reseda,34.200663,-118.539071
2598,California,Tulare,Richgrove,35.796667,-119.106944
2601,California,Kern,Ridgecrest,35.631376,-117.679733
2612,California,Riverside,Riverside,33.9924,-117.369421
2617,California,Kern,Rosamond,34.863117,-118.19636
2618,California,Los Angeles,Rosemead,34.065767,-118.08529
2623,California,Los Angeles,Rowland Heights,33.981777,-117.896946
2632,California,Imperial,Salton City,33.298611,-115.955278
2641,California,Orange,San Clemente,33.430809,-117.610139
2642,California,San Diego,San Diego,32.71852,-117.159316
2643,California,Los Angeles,San Dimas,34.102263,-117.81694
2644,California,Los Angeles,San Fernando,34.287509,-118.435242
2647,California,Los Angeles,San Gabriel,34.115486,-118.085658
2650,California,Riverside,San Jacinto,33.783889,-116.957778
2653,California,San Benito,San Juan Bautista,36.849856,-121.532721
2654,California,Orange,San Juan Capistrano,33.511714,-117.657409
2658,California,San Luis Obispo,San Luis Obispo,35.263453,-120.650933
2659,California,San Diego,San Luis Rey,33.294367,-117.306403
2660,California,San Diego,San Marcos,33.144386,-117.169716
2661,California,Los Angeles,San Marino,34.120698,-118.111745
2664,California,San Luis Obispo,San Miguel,35.753209,-120.696532
2666,California,Los Angeles,San Pedro,33.733894,-118.291425
2670,California,San Luis Obispo,San Simeon,35.666815,-121.144033
2671,California,San Diego,San Ysidro,32.551944,-117.042222
2673,California,Orange,Santa Ana,33.75016,-117.857665
2676,California,Los Angeles,Santa Clarita,34.459742,-118.488955
